y1;y2;y3;votou2010;denuncia;corrup_lavajato;corrup_ou_incomp;novo_politica;militar;lula;demo_dita;escola;rendaf;cor;idade1;idade;sexo
1;5;5;3;1;3;1;3;1;1;2;8;4;1;29;2;1
5;5;5;3;1;3;1;2;3;1;1;2;1;3;48;4;2
1;5;5;1;1;1;1;2;3;1;1;5;1;1;31;2;2
5;5;3;1;1;1;2;3;3;2;3;1;2;3;69;5;1
1;5;5;3;1;1;1;3;3;1;1;5;3;3;30;2;2
1;5;5;2;1;1;1;2;1;2;2;2;2;98;48;4;1
1;5;5;1;1;1;2;2;2;2;1;6;1;4;26;2;1
1;5;5;2;1;3;1;3;2;2;1;1;1;4;56;4;2
1;5;5;2;1;1;1;1;3;1;1;5;2;3;50;4;1
1;5;3;1;1;3;2;2;3;1;1;2;2;1;67;5;1
1;5;5;1;1;1;2;2;1;1;3;7;5;3;60;5;2
1;5;5;1;1;3;1;3;2;1;1;6;4;3;21;1;1
4;1;3;1;2;1;1;1;3;2;1;2;2;3;61;5;1
1;5;3;2;1;2;2;1;3;1;1;2;3;2;37;3;2
5;5;5;1;1;3;2;3;3;2;1;5;1;98;47;4;1
1;5;5;2;1;2;2;1;3;2;1;2;1;98;71;5;1
1;5;4;2;1;1;1;1;1;1;1;5;7;1;52;4;1
1;5;4;2;1;1;1;2;3;1;1;6;1;1;36;3;2
1;1;5;1;1;3;1;3;3;2;1;5;4;2;24;1;1
2;1;4;2;1;1;1;3;1;1;3;5;1;3;36;3;1
4;4;5;1;1;2;2;3;3;1;1;5;4;3;37;3;1
5;4;5;1;1;1;1;2;3;1;1;5;2;3;42;3;2
1;5;3;1;1;1;1;3;2;1;1;5;2;3;24;1;1
1;5;5;2;1;1;1;2;2;2;1;8;4;1;59;4;2
1;.;3;3;1;1;1;3;2;1;2;5;1;1;70;5;2
1;5;5;1;1;1;1;1;2;1;1;4;2;3;37;3;2
1;4;4;3;1;3;1;2;3;1;1;8;4;3;29;2;2
5;2;4;2;1;1;1;3;3;1;1;5;1;1;47;4;2
4;1;3;2;1;3;1;2;1;1;1;5;3;3;49;4;1
1;5;5;3;1;1;1;2;2;1;3;7;4;3;34;2;1
5;5;3;3;1;1;1;3;3;1;3;1;1;1;71;5;2
1;5;3;1;2;1;1;1;1;1;1;1;2;3;70;5;1
5;5;3;2;1;1;1;2;.;.;1;2;1;3;46;4;2
1;5;.;2;.;.;.;3;1;.;3;1;1;3;69;5;2
1;1;5;2;1;1;1;1;3;2;1;5;1;3;38;3;1
1;5;.;3;1;3;1;3;3;1;.;3;1;3;73;5;2
1;5;4;2;1;1;1;3;3;1;1;7;3;3;36;3;1
1;1;4;2;2;1;1;3;1;2;2;4;1;3;29;2;2
5;2;5;2;1;3;1;3;3;1;1;2;1;1;31;2;2
1;5;5;3;1;1;1;2;1;1;1;5;1;3;18;1;2
2;2;3;3;1;1;1;1;3;2;1;7;3;1;34;2;2
1;2;3;2;1;3;2;3;3;2;1;4;2;3;63;5;1
2;4;3;3;1;.;2;1;.;2;3;1;1;3;32;2;2
1;5;5;2;1;2;1;2;1;2;1;8;3;3;58;4;2
1;5;4;3;1;.;2;3;1;1;3;2;1;3;72;5;2
1;5;5;3;1;1;1;1;3;1;3;5;2;3;39;3;1
1;5;3;3;1;1;1;2;3;1;1;5;3;1;23;1;1
1;4;3;2;1;.;1;1;3;2;3;2;1;1;29;2;2
1;5;3;1;1;3;2;1;1;1;2;5;4;1;52;4;1
1;5;3;3;2;1;1;2;2;1;1;5;3;1;18;1;1
1;2;5;2;1;3;2;3;3;2;1;1;1;3;54;4;1
1;1;5;2;1;1;1;1;3;2;1;5;3;2;36;3;1
2;4;5;3;1;3;1;2;2;2;3;4;1;1;21;1;2
5;5;5;1;1;3;1;3;2;1;3;5;3;3;52;4;2
1;5;5;3;1;3;1;3;3;1;3;2;3;2;45;4;2
5;1;5;3;1;1;1;3;3;2;3;2;1;4;18;1;2
1;5;5;1;1;3;2;2;3;1;1;5;1;1;64;5;2
5;5;4;2;1;1;1;3;3;2;1;5;1;3;30;2;2
1;5;5;3;1;1;1;1;2;1;2;5;1;3;61;5;2
1;1;5;2;1;1;2;3;1;1;3;2;3;1;43;3;1
1;2;4;1;1;1;2;2;1;1;1;1;1;4;78;5;1
1;2;5;2;1;3;1;2;2;1;1;5;3;3;18;1;1
1;5;4;2;1;3;2;3;3;1;3;4;1;3;28;2;2
4;2;4;2;1;1;2;2;2;2;1;3;1;3;53;4;1
1;5;5;2;1;1;1;3;2;2;1;5;3;2;36;3;2
4;4;2;1;2;3;2;3;3;1;1;1;2;5;68;5;1
1;5;5;2;1;1;2;1;3;1;1;5;3;3;39;3;1
4;4;5;2;1;2;2;3;1;2;3;5;1;2;30;2;2
1;1;5;1;1;1;2;2;2;2;1;5;1;3;20;1;2
1;5;4;2;1;1;2;1;3;2;3;2;1;3;47;4;2
1;5;5;2;1;1;1;3;3;2;1;7;3;1;41;3;2
.;.;5;2;.;.;.;.;.;.;.;1;1;2;61;5;2
1;4;3;2;1;3;1;2;3;1;1;6;4;3;22;1;2
1;5;4;3;1;1;2;3;2;1;1;5;1;1;18;1;2
1;1;3;2;1;1;2;3;3;2;2;5;1;3;31;2;1
1;2;5;1;1;3;1;1;1;1;2;2;1;2;52;4;2
1;5;4;2;1;1;1;3;1;2;1;2;1;3;40;3;1
